"","Amamu1","Canalb1","Neucr4830_1","Neucr_trp3_1","SacceM3707_1","SacceM3836_1","SacceM3837_1","SacceM3838_1","SacceM3839_1"
"1.13.11.6",2.53742704897234,3.88651379712398,9.92063492063492,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.13.99.1",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,0,0,0,0,0
"1.14.-.-",152.245622938341,15.5460551884959,26.4550264550265,106.796116504854,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"1.14.11.1",5.07485409794468,3.88651379712398,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.14.11.13",2.53742704897234,7.77302759424796,19.8412698412698,2.42718446601942,0,0,0,0,0
"1.14.11.8",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,0,0,0,0,0
"1.14.11.9",2.53742704897234,0,0,2.42718446601942,0,0,0,0,0
"1.14.13.-",106.571936056838,163.233579479207,324.074074074074,101.941747572816,87.6643706950532,87.719298245614,87.9120879120879,87.4180455822666,87.8844946641557
"1.14.13.1",25.3742704897234,0,72.7513227513227,38.8349514563107,0,0,0,0,0
"1.14.13.21",2.53742704897234,0,0,0,0,0,0,0,0
"1.14.13.22",2.53742704897234,11.6595413913719,19.8412698412698,12.1359223300971,0,0,0,0,0
"1.14.13.30",2.53742704897234,0,0,2.42718446601942,0,0,0,0,0
"1.14.13.7",45.6736868815022,23.3190827827439,69.4444444444444,43.6893203883495,0,0,0,0,0
"1.14.13.8",32.9865516366404,15.5460551884959,26.4550264550265,14.5631067961165,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.14.13.9",7.61228114691703,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.14.14.1",456.736868815022,81.6167897396036,59.5238095238095,116.504854368932,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"1.14.99.3",2.53742704897234,3.88651379712398,0,0,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.14.99.7",5.07485409794468,0,0,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.14.99.9",2.53742704897234,0,0,0,0,0,0,0,0
"1.15.1.1",10.1497081958894,31.0921103769918,16.5343915343915,12.1359223300971,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"1.17.4.1",20.2994163917787,31.0921103769918,13.2275132275132,9.70873786407767,25.0469630557295,25.062656641604,25.1177394034537,24.9765844520762,25.1098556183302
"1.18.1.2",5.07485409794468,0,0,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.2.1.11",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.2.1.12",10.1497081958894,7.77302759424796,6.61375661375661,4.85436893203883,18.7852222917971,18.796992481203,18.8383045525903,18.7324383390571,18.8323917137476
